month,date,agent_id,alpha,beta,lam,pp
16,2002-05-31,141,1.588310409804941,1.661689590195059,1.046199521162321,0.45129087966131665
16,2002-05-31,142,1.5994442344749324,1.6505557655250676,1.0319558068661983,0.44155925631213677
16,2002-05-31,113,1.0913807164142943,2.158619283585706,1.9778792598405062,0.4976643618774782
16,2002-05-31,147,1.1618147426920185,2.0881852573079813,1.7973478736114914,0.4461709284083933
16,2002-05-31,189,2.3036714312098217,0.9463285687901783,0.41079146790182397,0.45804338388363924
16,2002-05-31,110,2.7321565904955647,0.5178434095044353,0.18953650435186356,0.4359171050782152
16,2002-05-31,42,2.539865039159053,0.7101349608409468,0.2795955493273264,0.4490605578288637
16,2002-05-31,180,2.3086720535066103,0.9413279464933897,0.4077356699768681,0.4356874232110017
16,2002-05-31,6,2.932961467001079,0.31703853299892115,0.10809502155617803,0.435405930710821
16,2002-05-31,23,2.919419567085984,0.33058043291401606,0.11323498569408598,0.4363456406329467
16,2002-05-31,93,1.4769297578285845,1.7730702421714155,1.2005108792568602,0.4366779016648199
16,2002-05-31,12,2.798603719333655,0.4513962806663452,0.16129338982434507,0.4356910068334368
16,2002-05-31,143,2.8290227511812027,0.4209772488187973,0.14880659713430247,0.43990255388151206
16,2002-05-31,174,2.8241198176346494,0.42588018236535063,0.15080103177847742,0.43683421206395256
16,2002-05-31,181,2.6996793499159435,0.5503206500840565,0.20384667168017237,0.4356314353767332
16,2002-05-31,1,2.3783791335288993,0.8716208664711007,0.36647683886203664,0.4348348109699282
16,2002-05-31,3,2.6111442797563016,0.6388557202436984,0.24466504022647223,0.4350574498804931
16,2002-05-31,4,2.167762079913251,1.0822379200867491,0.4992420201990331,0.4350553467494531
16,2002-05-31,7,2.343134180473471,0.9068658195265291,0.3870311086253205,0.4574313265589447
16,2002-05-31,8,2.411676839511623,0.8383231604883772,0.3476100722757457,0.43651052683663416
16,2002-05-31,14,2.5125944364947825,0.7374055635052175,0.29348372056969996,0.4364020611690243
16,2002-05-31,15,1.4693890467751607,1.7806109532248393,1.2118036112578294,0.4420807808312622
16,2002-05-31,17,1.7751081642935458,1.4748918357064542,0.8308743463491584,0.43505313406663676
