date,year_month,headline,abstract,lead_paragraph,word_count,section,keywords,web_url
,1990-01,[NO_ARTICLES],,,0,,,
,1990-02,[NO_ARTICLES],,,0,,,
,1990-03,[NO_ARTICLES],,,0,,,
,1990-04,[NO_ARTICLES],,,0,,,
,1990-05,[NO_ARTICLES],,,0,,,
,1990-06,[NO_ARTICLES],,,0,,,
,1990-07,[NO_ARTICLES],,,0,,,
,1990-08,[NO_ARTICLES],,,0,,,
,1990-09,[NO_ARTICLES],,,0,,,
,1990-10,[NO_ARTICLES],,,0,,,
,1990-11,[NO_ARTICLES],,,0,,,
,1990-12,[NO_ARTICLES],,,0,,,
,1991-01,[NO_ARTICLES],,,0,,,
,1991-02,[NO_ARTICLES],,,0,,,
,1991-03,[NO_ARTICLES],,,0,,,
,1991-02,[NO_ARTICLES],,,0,,,
,1991-04,[NO_ARTICLES],,,0,,,
,1991-03,[NO_ARTICLES],,,0,,,
,1991-05,[NO_ARTICLES],,,0,,,
,1991-04,[NO_ARTICLES],,,0,,,
,1991-05,[NO_ARTICLES],,,0,,,
,1991-06,[NO_ARTICLES],,,0,,,
,1991-06,[NO_ARTICLES],,,0,,,
,1991-07,[NO_ARTICLES],,,0,,,
,1991-07,[NO_ARTICLES],,,0,,,
